id,内容,非此即彼,以偏概全,心理过滤,否定正面思考,读心术,先知错误,放大,情绪化推理,应该式,乱贴标签,罪责归己,罪责归他
168,自残后感觉自己坏掉了和周围的人不一样感觉怪怪的真切的感觉自己是另类伤口的疼痛告诉自己还活着告诉自己过的并不顺心刚才看佛祖的视频还笑出了声是不是我作啊自己作自己弄出一身伤,0,0,0,0,0,0,0,1,0,1,0,0
169,饭我太累了甚至打字都觉得累没希望没动力甚至感觉不到疼了我只想好好睡一觉没人知道我的状态连我自己都不知道为什么晚安祝好,0,0,1,0,0,0,0,0,0,0,0,0
170,我的今生摯愛對我做了一件事不辭而別我不知道接下來生活怎麼能快樂起來,0,0,1,0,0,0,0,0,0,0,0,0
171,我好难过啊好难过好难过可是没有人可以听我说没有人能值得我去分享我又害怕又冷太难了活着太难了,0,0,1,0,0,1,0,0,0,0,0,0
172,我不配幸运,0,0,0,0,0,1,0,0,1,0,0,0
173,又催了以前有可能的时候一直拦着不让现在没有可能了一直催一直催然后就争吵恶性循环一整天难过什么时候才能替我考虑一下为我想一下我觉得一个人挺好的啊没有伤害过自己的生活为什么非要两个人可不可以不要催我了啊我好难受啊,0,0,0,0,0,0,1,0,0,0,0,0
174,外面下好大的雨真冷感觉不到温暖我想活着但是对身体的折磨太痛苦了我感觉不到自己活着了我还是要再熬一熬,0,0,1,0,0,0,0,0,0,0,0,0
175,可是活着好累心里好累身体好累,0,0,1,0,0,0,0,0,0,0,0,0
176,去看了精神科挂了焦虑抑郁门诊检查出来中度强迫状态中度焦虑症状重度抑郁症状以及中度敌对症状重度恐惧和中度偏执状态今天是确诊的第二天我花了两年多的时间才有勇气踏足那个地方这期间我给自己找了无数的借口不敢往那方面想但是最近真的撑不住啦世界很美好哦好不了的是我,0,0,0,0,0,1,0,0,0,0,0,0
177,哎懦弱的人啊那一点点痛苦都承受不了怎么自杀啊,0,0,0,0,0,0,0,0,0,1,0,0
178,昨天和喜欢的人在一起来了开心了一整天可今天早上醒了又开始哭下午哭一直都在哭他跟我说有不开心的事要跟他说可是我真的说不出来我很后悔一年前的我对我不够善良,0,0,0,1,0,0,0,0,0,0,0,0
179,我哪里做的不好你告诉我对不起我总是执着的不是地方,0,0,0,0,0,0,0,0,0,0,1,0
180,我又来了今天还是不开心呀从昨天哭到今天我真软弱,0,0,0,0,0,0,0,0,0,1,0,0
181,这个世界不会好了,0,0,0,0,0,1,0,0,0,0,0,0
182,总之真没人在意的,0,0,0,0,0,1,0,0,0,0,0,0
183,我什么都不想干想沉下去一点点掉下去无底洞似的摔不死也活不成,0,0,1,0,0,0,0,0,0,0,0,0
184,麻木麻木麻木因为一些奇怪的事情笑也不是开心我不知道开心是什么感觉了整个人浑浑噩噩什么都不想做回首过去都是空白未来也没有一点光,0,0,1,0,0,0,0,0,0,0,0,0
185,分手了我们我知道是小事以后回头来看一定是小的不能再小的事但我现在好难受呀,0,0,0,0,0,0,1,0,0,0,0,0
186,走饭你知道吗我今天是真的不想活了人生好累啊我以前觉得我妈妈特别不容易她总说我死了她也活不成了于是我活着可是今天的我真的累了他说我是装样子的其实不是如果不是我奶奶我弟弟拦着我那把刀已经把我的手腕割开了如果我的死能够使这一切终结那么我真的愿意,0,0,1,0,0,0,0,0,0,0,0,0
187,几年前我觉得自己挺好的真的是越来越不行了一切都在下坡路什么时候是尽头啊我好像掉进无底洞,0,0,1,0,0,0,1,0,0,0,0,0
188,现在已经平淡了毕竟还没有出社会人性最初的恶我已经尝过了等到看过了人类最坏的本性让我再不屑一点体验绝望的日子就无憾了也没有什么好期许的我只希望现在可以让自己快乐一点,0,0,1,0,0,0,0,0,0,0,0,0
189,害怕嘛很是很怂也会怕在一起喜欢的人会有不开心的时候怕他不舒服分开我有舍不得想得太多吧,0,0,0,0,0,0,0,0,0,1,0,0
190,抑郁很长时间了想死很多次了直到有一天当我把刀片放到手腕上但是没有勇气划下去的时候才发现我不贪生一点都不但是我怕死很怕后来就没有再想死了但是却常常觉得很累很累有时候觉得连呼吸都会痛睁眼都觉得光线刺眼眼泪顺着眼角就那样溢出擦都擦不完真的很累很累,0,0,1,0,0,0,0,0,0,0,0,0
191,什么都做不好,0,1,0,0,0,0,0,0,0,0,0,0
192,我是今天才知道走饭这个微博的在知乎上看到的来这里评论的人一定都活的不容易吧我也是,0,0,0,0,0,1,0,0,0,0,0,0
193,我啊是个很糟糕的人呢每认识一个人最后都会离我而去,0,1,0,0,0,0,0,0,0,1,0,0
194,没上过大学很自卑被别人问起你这个年龄不是在上大学吗这句话让我难过了,0,0,0,0,0,0,1,0,0,0,0,0
195,我才是他们幸福生活的最大障碍嘻嘻,0,0,0,0,0,1,0,0,0,0,0,0
196,哈哈哈哈哈哈哈我以后一定不是合格的老师,0,0,0,0,0,1,0,0,0,0,0,0
197,我知道没有人会心疼我在乎我毕竟我只是个丑小鸭,0,0,0,0,0,1,0,0,0,1,0,0
198,特别不想活又特别怕死每次想着要是一睡再也醒不来了该有多好每天都不开心每天都对任何事情感到厌烦其实我好羡慕身患绝症的人饭饭你什么时候带走我我真的要受不了了啊,0,0,1,0,0,0,0,0,0,0,0,0
199,自己好没用啊饭,0,0,0,0,0,0,0,0,0,1,0,0
200,怎么办啊我什么都做不了没有一点温暖对不起我找不到活下去的意义,0,1,1,0,0,0,0,0,0,0,0,0
201,饭饭我想走了我在开始准备玻璃心的我要活下去真的好难好难我总是因为一些小事难过我受够了还有我知道这个世界上的人还有好多好多好的但我们那个班的人恶心死了,0,0,1,0,0,0,0,0,0,1,0,0
202,很羡慕你能勇气感觉自己就是个胆小的老鼠她把我删了妈妈觉得我是个异类总是谈起离婚前的事情让我自己去找爸爸老师觉得我是累赘快毕业了工作也签不上面试就觉得我是个消极的人朋友借了钱跑路了这些事依然没有勇气站起来也没有胆量去结束如果得了绝症该有多好可以理所应当的离开了,0,0,1,0,0,0,0,0,0,1,0,0
203,所有人都在嫌我不工作死了算了不想再看见他们那势力的眼神了,0,0,1,0,0,0,1,0,0,0,0,0
204,偶尔的失眠会焦虑头痛情绪有快要爆发控制不住的时候每到凌晨睡不着就开始疯狂被负面情绪包围影响害怕自己撑不下去爸爸妈妈现在对我很好她们要怎么办虽然家里有姐姐弟弟还是怕她们会太过伤心每天都过得很难受唯一的好友无法理解我不敢告诉家人我不知道我为什么会变成这样太累了,0,0,1,0,0,0,0,0,0,0,0,0
205,一個人生了一天的悶氣跟傻子一樣還吃了好多亂七八糟的東西也能撫平我心中的火氣,0,0,0,0,0,0,0,0,0,1,0,0
206,如果我是抑郁症那我觉得我还有救可怕的是如果我不是抑郁症那我觉得我这个人真的彻底废了我不敢去医院我怕医生说你一切正常,0,0,0,0,0,0,0,0,0,1,0,0
207,本来以为不会好起来也不会恶化了还是我天真了人间真的不值得我也不值得,0,0,1,0,0,0,0,0,0,0,0,0
208,我是杀了人还是放了火让你这么怕我我知道你不在乎我我没想过跟你在一起了你凭什么这么伤害我我对你是真心的但是你呢为什么我就要陷入这种无边的黑暗中你却当什么事都没有发生过我知道我脆弱我矫情我知道我有很多缺点可你为什么还要伤害我为什么,0,0,0,0,0,0,0,0,0,1,0,0
209,昨晚还一起看深夜电影接吻在我小区门口抱着半小时不撒手今天一天都不回消息微笑男人都大猪蹄子大概我只是一条鱼吧,0,0,0,0,1,0,0,0,0,1,0,0
210,现在想想我爸跟苏大强有点像有点懦弱只不过没苏大强那么懦弱我妈比赵美兰温柔多了遇事犹豫不决自己做不了决定别人做决定还嫌弃,0,0,0,0,0,0,0,0,0,1,0,0
211,昨天和她们骑自行车难得出去可是不开心缺了什么好像世界与我无关边缘人醒来不开心好累不想再出去了不想出去拍照在朋友圈刷存在感,0,0,1,0,0,0,0,0,0,0,0,0
212,他拒绝好友申请我好难过心好痛,0,0,0,0,0,0,1,0,0,0,0,0
213,这辈子就是太懒太软弱太没毅力太没坚持才让自己太过无能整日焦虑无法好好去把握自己的未来对未来的人生真是抱不起任何的希望,0,0,0,0,0,0,0,0,0,1,0,0
214,造成这一切的原因是我对自己要求太高了,0,0,0,0,0,0,0,0,0,0,1,0
215,我愤怒的来源的一部分我物质上也不想舍精神上也不想舍这是我的理想状态可现实是我物质缺少了一部分精神上的就不会缺失物质上充足了精神上就会流走一部分这是我现在理想和现实的矛盾我没有办法很好的整合好,1,0,0,0,0,0,0,0,0,0,0,0
216,刘建华我喜欢你可你讨厌我,0,0,0,0,1,0,0,0,0,0,0,0
217,听到别人的脚步声走向我都会觉得很焦虑千万不要走过来千万不要进来啊我真的想一个人呆着,0,0,0,0,0,0,1,0,0,0,0,0
218,是我自己把路走成这样的世间有人有梦想也在为此努力而我只是度日如年,0,0,0,0,0,0,0,0,0,0,1,0
219,情绪总是莫名低落时起时伏我自己也不知道怎么了好时感觉整个世界都在发光一点小事兴奋好久不好时总想哭我真不知道自己这是怎么了我很不喜欢周围人随时把抑郁这类词语挂在嘴边可我解决不了自己的问题总觉得自己熬不过去不知道怎么了,0,0,0,0,0,0,0,1,0,0,0,0
220,饭呀我好无奈毕业了不想去北京不喜欢去我姑姑家我跟爸妈关系不好那是我后妈我不太喜欢她她对我好可终究不是我亲妈还是有距离感呀我很迷茫我奶奶年纪也大了再等个年年我奶奶走了我就没有家了啊这世上就剩我自己了,0,0,1,0,0,0,0,0,0,0,0,0
221,哈喽时隔两年我又来啦最近我很差劲仔细想一想好像都没有真正开心的时候我想回家想抱着我的狗把它搂在怀里这样我就会特别开心了,0,0,0,0,0,0,0,0,0,1,0,0
222,饭我突然发现不管再亲近的人不是抑郁症就永远不会理解发作时绝望的心情那种找不到活下去的理由整个世界一片灰暗的感觉真的很不好从他知道我有抑郁症开始就一直在陪着我可他不会理解那种心情他说让我别胡思乱想想点开心的如果不是胡思乱想怎么会有抑郁症所以我不知道该怎么诉说,0,0,1,0,0,0,0,0,0,0,0,0
223,每天十二个小时的班每天不到凌晨两三点睡不着每天睡四五个小时的觉生活中不被人理解爱人吵架能把自己逼的精神奔溃眼泪直流脑子特疼特别累,0,0,1,0,0,0,0,0,0,0,0,0
224,我正在偷偷的崩溃哭压力好大好难过,0,0,1,0,0,0,0,0,0,0,0,0
225,我没什么要活的对所有的没有兴趣没有爱孤独的没有灵魂的我病态的我没办法控制思绪的我等等的我都让我只想死了我能想想我死的时候什么样子我不在以后是什么样子我都觉得很好但活着真不好,0,0,1,0,0,0,0,0,0,0,0,0
226,我爷爷是公务员奶奶是文工团的这么好的家庭条件我爸成家后就混日子明明可以和其他人一样的被我爸弄的呵呵真不想叫他爸恶心,0,0,0,0,0,0,0,0,0,1,0,0
227,作为一个姬佬如果我出柜遭到反对如果到了不得不妥协的地步我最多做到为了他们一辈子不找女朋友我为了我自己也一辈子不会找男朋友虽然我真的找不到女朋友跪了,0,0,0,0,0,0,0,0,0,1,0,0
228,真好你那么有勇气我夹杂在活与死之间很痛苦活着确实是个令人痛苦的过程死了也解脱了吧,0,0,0,0,0,0,0,1,0,0,0,0
229,我太自以为是了想掐死自己,0,0,0,0,0,0,0,0,0,1,0,0
230,每天晚上都希望第二天死掉,0,0,1,0,0,0,0,0,0,0,0,0
231,喜欢城市的喧闹又喜欢安静美丽的山庄我都快人格分裂了有时候希望自己有什么超能力能做点什么让别人记住你至少能感觉到自己的存在有意义而不是整天两点一线这样或者真的无聊天天都像复制粘贴一样感觉自己的存在可有可无白天装笑晚上失眠那种感觉睡着了却又感觉还醒着真的难受,0,0,0,0,0,0,0,0,0,1,0,0
232,哈哈二十五岁马上就二十六啦还是没有男朋友我妈担心我嫁不出去我越来越愧疚感觉对不起他们生活工作都是一团乱麻我也好想闭上眼睛再也不醒过来,0,0,1,0,0,0,1,0,0,0,1,0
233,总是有一种无力感就好像被人突然抽走了所有感觉没有一个人能理解我难受,0,0,0,0,0,1,0,0,0,0,0,0
234,我从不渴望救赎因为根本不会有人救赎我从小到大我所有的委屈都是我一个人扛下来谁对谁错根本不重要重要的是从来都没有人站在我的身边明确的说你做的很好做的很棒剩下的交给我吧根本没有,0,1,0,0,0,0,0,0,0,0,0,0
235,走饭小姐姐还有天就是我生日了我已经孤单过好几次生日了这一次我打算今天一个人提前就过了我已经赖活着撑到现在我觉得真的太累了我对不起这个世界太多人了最对不起就是我多年没有像一个正常人一样活着给周围填了太大麻烦我自知我以已然撑不下去了枉到了另一个地方可以与你相见,0,0,0,0,0,0,0,0,0,0,1,0
236,我没有未来好像一个乞丐,0,0,0,0,0,1,0,0,0,1,0,0
237,我是中度抑郁平时表面上笑嘻嘻对每个人都笑转头说不定就开始哭我觉得我没什么希望活下去父母的嫌弃和唾骂亲人的责备我真的快疯了他们最常对我说的就是你要听话你大了能不能体谅父母你怎么那么不懂事别人都能坚持你为什么不能网络给了我一点慰藉感谢那个一直陪我的少年,0,0,1,0,0,0,1,0,0,0,0,0
238,爸妈现在也都没工作了不知道他们是怎么想的感觉未来一片黑暗,0,0,1,0,0,0,0,0,0,0,0,0
239,因为会做一些糟糕的决定所以越来越差越来越差,0,1,0,0,0,0,0,0,0,0,0,0
240,这个世界一点也不喜欢我我也不喜欢它了,0,1,0,0,0,1,0,0,0,0,0,0
241,所以什么时候我可以死一死好难受好痛苦根本不是一回事真的很难受我不想坚持了是不是死了就好了,0,0,1,0,0,0,0,0,0,0,0,0
242,我还是想有机会的话我要烂在一个角落里不需要任何人,0,0,1,0,0,0,0,0,0,0,0,0
243,就好像只有我受苦,0,1,0,0,0,1,0,0,0,0,0,0
244,对啊一点点爱就好可是长大了还是得到一点点爱就被抛弃也许我就不应该活在这个世上正常人的幸福我是不配拥有的,0,0,0,0,0,1,0,0,1,0,0,0
245,父母只不过时时刻刻想着嫁人的事可是连活都不想了还会想着别的事吗,0,0,0,0,0,1,0,0,0,0,0,0
246,我是错的,0,0,0,0,0,0,0,0,0,0,1,0
247,也可能不是自我贬低大概我就是这个样子吧,0,0,0,0,0,0,0,0,1,0,0,0
248,她过得还是很好即便我真的用尽心思让她过的没那么好为什么她做了那么多坏事却是永远在幸运永远在幸福,0,0,0,0,0,1,0,0,0,0,0,0
249,我就像是一坨屎谁见了都讨厌,0,0,0,0,0,0,0,0,0,1,0,0
250,傻还天真借别人钱去催他还钱他不但不还还叫人打我结果下一次他可怜的假样又找我借钱我还是借了没有人说你宽容善良只会说你是个烂好人还没脑子自己做事从来都是约束自己做不好一件事给人家道歉还心有愧疚给人家补偿想做恶人但是潜意识却想做个好人可笑,0,0,0,0,0,0,0,0,0,1,0,0
251,饭啊我好像得抑郁症了羡慕你做了自己喜欢的人世界上没有人在乎我的感受呢我也想自杀但时间上我不放心的有太多连这世界都不让我安心的死去我是不是太贪生怕死可以抱抱我吗永远不放开的那种,0,0,0,0,0,1,0,0,0,1,0,0
252,总想依靠一份感情来拯救自己最后发现折磨了别人更痛苦了自己也许我就是不配得到爱,0,0,0,0,0,0,0,1,0,0,0,0
253,好累每天都在被情绪折磨折磨到我已经无法正常生活了连洗澡都觉得是一件很累的事情跟身边所有人说都没有人相信我觉得我在作没有人理解每天都活着好痛苦,0,0,1,0,0,0,1,0,0,0,0,0
254,饭饭分手第二天我已经接受了分手事实但是情绪不停陷入崩溃时不时大哭,0,0,1,0,0,0,1,0,0,0,0,0
255,走饭我难过的时候就会来你这里看看越来越多的觉得没有人能理解我的痛苦也没有人真正的感同身受他们或许还会觉得我小题大做觉得我不够坚强不够有责任感才会冒出想要一了百了的念头我现在觉得活着是多么的艰难啊我无法控制自己不去难过悲伤无法控制自己的消极忐忑,0,0,0,0,0,1,0,0,0,0,0,0
256,我喜欢一个人就只是喜欢了是不是太懦弱怕连话都说不了,0,0,0,0,0,0,0,0,0,1,0,0
257,我是个罪人,0,0,0,0,0,0,0,0,0,0,1,0
258,我妈肯定有焦虑症因为子女的没出息看看这都三点多了她还在自言自语谁少了她钱,0,0,0,0,0,1,0,0,0,1,0,0
259,我一点也不够努力我什么也不想干我很懒也很怕死饭饭你真的很厉害但也许活着会更好吧,0,0,0,0,0,0,0,0,0,1,0,0
260,我老是在想活着有什么意义呢挺没趣的我是这样一个空洞洞的人没有喜欢的东西没有很多的朋友没有想要做的事情就这样像个孤魂野鬼苟活于世活着又有什么意思呢,0,0,1,0,0,0,0,0,0,1,0,0
261,饭饭我好累了又睡不着觉真的好绝望淚我只会哭哭哭真是没用废材,0,0,0,0,0,0,0,0,0,1,0,0
262,她们都是大白菜,0,0,0,0,0,0,0,0,0,1,0,0
263,亲情友情职业都无从下手越来越觉得自己社恐这人生真的不是自己想要的想放弃了,0,0,1,0,0,0,0,0,0,1,0,0
264,饭饭我现在都不知道活着是为了什么感觉毫无意义但是又怕我的家人们伤心我不知道怎么样能够做的更好,0,0,1,0,0,0,0,0,0,0,0,0
265,她怎么可以如此伤害我啊我做错了什么每天被嘲讽贬低谩骂你本地人就如此高贵吗为什么别的寝室都好好的我却说话都被打断制止,0,0,0,0,0,0,0,0,0,0,0,1
266,我怕哪天我就真的这样不见了变得越来越反感自己了光是活下去已经用尽全部的力气了,0,0,1,0,0,0,0,0,0,0,0,0
267,我看看再糟还会糟成什么样一起来吧,0,0,0,0,0,1,0,0,0,0,0,0
268,谁他妈的来救救我我真的要崩溃了压力太大,0,0,1,0,0,0,0,0,0,0,0,0
269,今天有点开心可是我害怕开心永远不属于我一点点的开心的背后就是无尽的黑暗,0,1,0,0,0,1,0,0,0,0,0,0
270,走饭啊今天不知道该说什么了人真的都挺自私的现在我还是怕黑还是一个人孤孤单单的就这样啊一直到死掉,0,0,0,0,0,0,0,0,0,1,0,0
271,我为何如此堕落,0,0,0,0,0,0,0,0,0,1,0,0
272,变得越来越敏感了以为自己不会在意失败的事情但别人一提起还是很难过很崩溃战胜不了自己鼓不起勇气觉得自己废了没有人能倾诉了只有这里了,0,0,1,0,0,0,1,0,0,1,0,0
273,我朋友说终于明白为什么你刚来宿舍的时候那么多东西不会了因为你被保护的太好了我也觉得啊我以前真的是被保护的太好了有男朋友保护家里也不缺钱和和睦睦的可是男朋友背叛我了家里生意也出经济问题了这些事情都一起来的他们把我压迫了强制性把我换性格了淚,0,0,0,0,0,0,1,0,0,0,0,0
274,感觉被生活压的喘不过气了瞪着眼睛熬到天亮即便困得流泪在想我们这么活着是为了什么呢有什么意义啊苦多甜少还要这样为了生存而生存吗,0,0,1,0,0,0,0,0,0,0,0,0
275,为什么我被欺负了总是不会发飙她太恶心了,0,0,0,0,0,0,0,0,0,1,0,0
276,今天的自己充滿了怨恨憤怒每天不是難過就是憤怒我到底該怎麼走出來我快被自己的腦子逼瘋了,1,0,0,0,0,0,0,0,0,0,0,0
277,对方是个很容易接受别人的人我不行我做不到我大概是个自闭儿,0,0,0,0,0,0,0,0,0,1,0,0
278,真的没有人会在意我我死了也无所谓,0,0,0,0,0,1,0,0,0,0,0,0
279,工作被排挤家里人不想我留家里啃老房价太高恐婚看不见未来如果明天六点起来我还是这种心情那我选择死亡,0,0,1,0,0,0,0,0,0,0,0,0
280,胆小懦弱一无是处的人啊,0,1,0,0,0,0,0,0,0,1,0,0
281,我现在真的太怕回应别人的喜欢了就感觉好像一直在辜负他们辜负任何人我记得大学毕业的时候我是想去外面的可是我也不知道为什么就留在了县城我把自己的生活过的一点都不像以前想的然后在这样的生活里面渐渐的不知道自己到底应该做什么我真的真的太需要一个拥抱也太需要一份目标了,0,0,0,0,0,0,0,0,0,0,1,0
282,忽如其来的恐惧像阴影一样罩在我身上无法脱离这种窒息感让我感觉自己随时会死去失望,0,0,1,0,0,0,0,0,0,0,0,0
283,饭饭我之前一直觉得为失恋那么痛苦的人很可笑可是现在我离开他真的太悲伤难受了我失去最后一根救命稻草了,0,0,1,0,0,0,1,0,0,0,0,0
284,我妹一早起就开始看电视一直到现在还在那屋扑腾的跳跺的地板响还发出怪声音笑简直吵死了烦死了真想一脚给踢出去,0,0,0,0,0,0,0,0,0,0,0,1
285,研没考上工作也找不到我这个垃圾,0,0,0,0,0,0,0,0,0,1,0,0
286,我好像每天都在期待意外死亡我也不知道为什么感觉每个人对我但是不好的每个人都排挤我讨厌我我在哪里都是多余的我每天白天但是要开开心心的我真的好难受我到了晚上我就特别想哭我觉得做人真的好难好难,0,1,1,0,1,0,0,0,0,0,0,0
287,讲出来太累啦想过了就那样一天一天下去承受不住的时候就离开带着这些年所有的难过离开,0,0,1,0,0,0,0,0,0,0,0,0
288,生病了才发现其实我一个朋友也没有,0,0,0,0,0,1,0,0,0,0,0,0
289,你全身而退我满盘皆输高健你赢了呀可我怎么办呢我活着真的一点意义都没有了,0,0,1,0,0,1,0,0,0,0,0,0
290,每天都让人觉得生活无望,0,0,1,0,0,0,0,0,0,0,0,0
291,又是哪个猪蹄子啊想归想但是这个时间你不睡觉伤身体啊喂快给我睡觉,0,0,0,0,0,0,0,0,0,1,0,0
292,其实我愧疚的点在于我知道我父母给我花的多给她花的少我钱花的多得到的东西也多但我看不见的付出的也不少比如在这个家我只能偷偷摸摸像做贼一样去享受这些战利品如果我们姐妹花的一样我就能光明正大的但在金钱上能利用的就少了很多所以啊一切都是平衡的,0,0,0,0,0,0,0,0,0,1,0,0
293,下周又得去开药了开一次药没分之生活费我太败家了,0,0,0,0,0,0,0,0,0,1,0,0
294,心情很糟糕怀疑男朋友身心出轨想分手但经济还没独立烦,0,0,0,0,0,1,0,0,0,0,0,0
295,又来这儿了成年人的世界总有发泄不完的负面情绪总有愤愤不平你好像就这样没人在乎的死去,0,1,0,0,0,0,0,0,0,0,0,0
296,我不该来到这个世界,0,0,0,0,0,0,0,0,1,0,0,0
297,无所谓了吧四月的春天都救不了我站在太阳下面我只觉得遗憾如果能重来我会做的好一点吧唉无所谓了我用棉花塞满了我的伤口日复一等到他们溃烂的一天就不要说我没有坚持过吧起码现在的眼泪都是为坚持而流的,0,0,1,0,0,0,0,0,0,0,0,0
298,遇到好笑的哪怕一点点小事我都可以笑半天不是因为笑点低我只是假装快乐告诉自己开心起来但是内心沉的不行在乎别人的想法一举一动经常觉得在为别人活着生活也就没有意义拼命想融入集体但是每次都失败也就放弃了一个人自言自语做事散步玩游戏谢谢对不起经常说但是还是有人说自己,0,0,1,0,0,0,1,0,0,0,0,0
299,我好没用蠢人不配过得轻松只能一直付出很多很多无用功,0,0,0,0,0,1,0,0,0,1,0,0
300,从初三到现在我求救了好多次了年的时候我拥有了你拥有了光可是我不好把我的光推开了对于你来说这几年其实很难受吧最后还要在我身边没办法和喜欢的人在一起,0,0,0,0,0,0,0,0,0,0,1,0
301,我讨厌这个肮脏的世界我讨厌那些肮脏的人,0,0,0,0,0,0,0,0,0,1,0,0
302,十几二十岁的时候我就开始整天想死那时就诊断为抑郁症过了十几二十年快四十岁了还是一遇到不想面对的事情时就想离开这个世界死的念头一直没停过想的最多的是如果没来过这个世界那该多好啊,0,0,1,0,0,0,0,0,0,0,0,0
303,有时候我很想像以前一样哇的一声大哭出来但是我突然发现我没眼泪了麻木了想一个布偶娃娃感觉不到人间情味了,0,0,0,0,0,0,0,0,0,1,0,0
304,要么让我快点好起来要么让我得个绝症要病就病得彻底一点,1,0,0,0,0,0,0,0,0,0,0,0
305,工作不顺心和同事也处的不开心好像从来都不合群又渴望合群,0,1,0,0,0,0,0,0,0,0,0,0
306,饭今天外面一直在下雨然后突然之间就停电了我爸妈说她们觉得我有性格缺陷他们无法理解我会动不动就拉黑别人删除别人我总是喜欢活在过去的事情里面然后无法自拔然后自我折磨其实我也知道我所有的压力都来自于我自己可是事实上我连一点改变都做不了我真的真的太讨厌现在的自己了,0,0,1,0,0,0,0,0,0,0,1,0
307,感觉自己好没用把身份证掉了去补的路上受不了自己边走边哭我感觉快要坚持不下去了我这种人为什么还要活着点点事情都做不好,0,0,1,0,0,0,1,0,0,1,0,0
308,同样的日子为什么别人过得开心而我天天挑剔一定是我的过错,0,0,0,0,0,0,0,0,0,0,1,0
309,走饭我暴食了我不敢说我真的好难过活着真的好累,0,0,1,0,0,0,0,0,0,0,0,0
310,我并不善良当我选择死亡的时候我就把父母朋友放在了接受负面的影响里了非常对不起他们,0,0,0,0,0,0,0,0,0,0,1,0
311,我是一名双相情感障碍患者我跳楼自杀了却活下来了耗费了钱财耗费了亲人的精力在恢复期的我却还是天天难过自卑自哀觉得自己不该活着自己不堪入目的灵魂就应该被炸掉就应该粉身碎骨,0,0,1,0,0,0,0,0,1,1,0,0
312,今天又被喜欢的人否定质疑了唉他可是我的小太阳啊给我希望给我光每次被凶总觉得是自己的错可我不想解释了好累啊今天又下雨了不该奢求会有人来拯救我我只会变成别人的负担我明明也不想哭啊为什么我怎么这么软弱我又想偷偷离开了可是我不敢,0,0,0,0,0,0,0,0,0,1,0,0
313,记忆力越来越差了是不是有一天谁也不记得了是不是更好,0,0,0,0,0,1,0,0,0,0,0,0
314,然而你要明白的是你的父母不可能成为你理想中的那种完美周到的样子他们不会改变你要做的就是逃能逃多远谈多远再也不要回来了再也不要靠近他们了,0,0,0,0,0,1,0,0,0,0,0,0
315,我多羡慕你的决心我真的好累我好想死我真的好想死我受不了了,0,0,0,0,0,0,1,0,0,0,0,0
316,饭我太没出息了都不知道到底为什么在哭明明今天心情还可以的,0,0,0,0,0,0,0,0,0,1,0,0
317,好颓废不想活了,0,0,0,0,0,0,0,0,0,1,0,0
318,如果你能看到我的内心你会发现它早已经千苍百孔了生活已经让我伤痕累累了,0,0,1,0,0,0,0,0,0,0,0,0
319,像我这样的理想主义者根本就不适合活在这个世界上吧,0,0,0,0,0,1,0,0,1,0,0,0
320,比昨天更喜欢他了好像毒药一样会上瘾我发现我好像戒不掉了我是不是太贪恋他了突然觉得这辈子活的真累,0,0,1,0,0,0,1,0,0,0,0,0
321,上班好像又被针对了别人让我学聪明点可我真的不知道要怎么才叫聪明,0,0,0,0,1,0,0,0,0,0,0,0
322,我也在等这样的人出现但是又觉得如此不堪的我应该不会有人接近,0,0,0,0,0,1,0,0,1,1,0,0
323,觉得自己变得越来越冷漠了坐地铁旁边有个人没站稳倒我身上我竟然懒得去扶一下让她自己扶着我站起来的,0,0,0,0,0,0,0,0,0,1,0,0
324,胡扯累死了每天自责恐惧身体病痛折磨我还是早早规划一下早日脱离苦海,0,0,1,0,0,0,0,0,0,0,1,0
325,我的同事可能会觉得我阴郁吧看起来奇奇怪怪的样子,0,0,0,0,1,0,0,0,0,0,0,0
326,我巴不得现在就死掉算了不然还要害怕每一个明天情绪崩溃的时刻我真的受不了了我忍不住了,0,0,1,0,0,0,1,0,0,0,0,0
327,闹了这么一通我在房间却听到我妈和弟弟妹妹很开心很开心的大笑叫了我一天没起床她的态度称呼就开始变得烦躁埋怨碰到摆了一床的玩偶我想如果我死了它们该怎么办衣服可以烧点书可以送人可是这些玩偶陪了我这么多年已经旧了过时了如果我死了它们应该会出现在垃圾堆吧,0,0,0,0,1,0,0,0,1,0,0,0
328,这些年依然生活在黑暗中可是却已经不想要阳光了担心能够触及阳光的时候就会害怕一旦失去阳光重回黑暗那种感觉比从未拥有更加难受,0,0,1,0,0,0,0,0,0,0,0,0
329,一天没有吃饭了不饿也不想吃希望今天晚上睡着后可以猝死不用醒来了手机里留好了告别信以防万一我突然的离开也可以减轻他们的痛苦为我开心当然还是希望我醒不过来吧,0,0,0,0,0,1,0,0,0,0,0,0
330,我真是记性差到极点记忆混乱到极点脾气差到极点心情差到极点干什么都不行,0,1,0,0,0,1,0,1,0,0,0,0
331,我不配拥有好运气好心情,0,0,0,0,0,0,0,0,1,0,0,0
332,然而她不知道我这些年怎么过来的初中知道了当时真的自己非常嫌弃自己觉得自己脏了真的被性侵过后伤害是永久的还会有二次伤害我感觉自己要疯掉了太难受了,0,0,0,0,0,0,0,0,0,1,0,0
333,我也很自卑是真的真的自卑多希望不要有优秀的人出现在我的世界里,0,0,0,0,0,0,0,0,0,1,0,0
